CompanyID	Userid_login	LdapCompanyTypeAttribute
1585	cjulian1	INTR
1585	dmcdevitt	INTR
1585	tbuswell	INTR
1601	APAPADA4	INTR
1601	astanifer1	INTR
1601	bbrunner4	INTR
1601	blockard	INTR
1601	bstewart	INTR
1601	cbenjamin1	INTR
1601	clee5	INTR
1601	cwealti1	INTR
1601	dchampagne	INTR
1601	ddyczka	INTR
1601	dkenyon	INTR
1601	dmasch	INTR
1601	dmccoy	INTR
1601	hkurtz	INTR
1601	jwinterber	INTR
1601	lbull1	INTR
1601	lpriddy	INTR
1601	mgibson8	INTR
1601	MHILL0413	INTR
1601	mhill10	INTR
1601	mpine	INTR
1601	mrepko	INTR
1601	mscherer	INTR
1601	pohlemille	INTR
1601	PRAGEETH	INTR
1601	rpeitz	INTR
1601	rruth	INTR
1601	sburnett1	INTR
1681	aanderalli	INTR
1681	aclanton1	INTR
1681	balford2	INTR
1681	bkimbrell4	INTR
1681	cputz	INTR
1681	ehanlon	INTR
1681	elanders1	INTR
1681	ezielinski	INTR
1681	jkowalewsk	INTR
1681	jlee25	INTR
1681	jpegues	INTR
1681	kdemarco	INTR
1681	lmcdaniel	INTR
1681	lpresley	INTR
1681	lscrimale2	INTR
1681	mgodsey	INTR
1681	mventrone	INTR
1681	nenglish	INTR
1681	nsylvest11	INTR
1681	rhenderso2	INTR
1681	rmiller30	INTR
1681	rparsons	INTR
1681	sbennett11	INTR
1681	secker1	INTR
1681	skilcoyne	INTR
1681	ssparrow	INTR
1682	apatil2	INTR
1682	BMCCART	INTR
1682	dmishra	INTR
1682	jschneid12	INTR
1682	PTESTINT	INTR
1682	tbakshi	INTR
1682	WMACKIE2	INTR
1683	kgordon	INTR
1683	pbharteey	INTR
1850	ealtschul	WTYD,RESD
1850	rruth72	WTYD,RESD
1853	khayes	INTR
1892	jsmith232	WTYD,RESD,CSLD
1892	nkafka1	WTYD,RESD,CSLD
1895	malexande3	WTYD,RESD,CSLD
1895	pmay	WTYD,RESD,CSLD
1913	djones1	WTYD,RESD,CSLD
1913	mbailey6	WTYD,RESD,CSLD
1913	rosullivan	WTYD,RESD,CSLD
1913	tcampbel16	WTYD,RESD,CSLD
1914	apoole1	WTYD,RESD,CSLD
1914	bmedak	WTYD,RESD,CSLD
1914	ckuwahara	WTYD,RESD,CSLD
1914	dstricker	WTYD,RESD,CSLD
1914	jcaven	WTYD,RESD,CSLD
1914	pweiss	WTYD,RESD,CSLD
1914	rbroyles2	WTYD,RESD,CSLD
1914	thristov	WTYD,RESD,CSLD
1915	DMILLER80	WTYD,RESD,CSLD
1915	mstclair	WTYD,RESD,CSLD
1915	vjacobs1	WTYD,RESD,CSLD
1917	dcraft2	WTYD,RESD,CSLD
1919	bnorman2	WTYD,RESD,CSLD
1926	dbrown7	WTYD,RESD,CSLD
1926	tfoss	WTYD,RESD,CSLD
1926	TLEWIS21	WTYD,RESD,CSLD
1932	fwilliams	WTYD,RESD,CSLD
1932	jpence1	WTYD,RESD,CSLD
1932	ohutchison	WTYD,RESD,CSLD
1932	wayers1	WTYD,RESD,CSLD
1934	rhouck	WTYD,RESD,CSLD
1934	thoward	WTYD,RESD,CSLD
1936	bbhagwandi	WTYD,RESD,CSLD
1936	doshea1	WTYD,RESD,CSLD
1936	pthompson	WTYD,RESD,CSLD
1939	dtrolling9	WTYD,RESD,CSLD
1939	jhurt	WTYD,RESD,CSLD
1947	erivera5	WTYD,RESD,CSLD
1947	nbarnes	WTYD,RESD,CSLD
1947	nsutherlan	WTYD,RESD,CSLD
1947	smack	WTYD,RESD,CSLD
1947	twilliam38	WTYD,RESD,CSLD
1949	mthompso43	WTYD,RESD,CSLD
1949	sanderso16	WTYD,RESD,CSLD
1962	slovejoy2	WTYD,RESD
1963	jwilc	WTYD,RESD
1965	rwilliam83	WTYD,RESD
1965	sgarwood	WTYD,RESD
1969	sgrant2	WTYD,RESD
1970	jhubbell	WTYD,RESD
1972	bslater	WTYD,RESD
1972	jdaniels1	WTYD,RESD
1972	lnanosh	WTYD,RESD
1976	gkaatz	WTYD,RESD
1976	hcharland1	WTYD,RESD
1976	jbrown57	WTYD,RESD
1990	acole5	WTYD,RESD,CSLD
1990	bgraham11	WTYD,RESD,CSLD
1990	bmichael6	WTYD,RESD,CSLD
1990	dstagge	WTYD,RESD,CSLD
1990	lschmittou	WTYD,RESD,CSLD
1990	rgriffin11	WTYD,RESD,CSLD
1990	wanderson4	WTYD,RESD,CSLD
1991	dquillen	WTYD,RESD,CSLD
1991	scoppock	WTYD,RESD,CSLD
1992	dbrooks1	WTYD,RESD,CSLD
1992	DSCOTT47	WTYD,RESD,CSLD
1992	ecardone	WTYD,RESD,CSLD
1992	flonergan	WTYD,RESD,CSLD
1992	jdix3	WTYD,RESD,CSLD
1992	jsantoro1	WTYD,RESD,CSLD
1992	mnatale	WTYD,RESD,CSLD
1992	tmancinon1	WTYD,RESD,CSLD
1992	tmikels	WTYD,RESD,CSLD
1995	rforget6	WTYD,RESD,CSLD
1998	jdodds	WTYD,RESD,CSLD
1998	tholden3	WTYD,RESD,CSLD
1999	alancione	WTYD,RESD,CSLD
1999	DSCOTT45	WTYD,RESD,CSLD
1999	gnault	WTYD,RESD,CSLD
1999	hwatson1	WTYD,RESD,CSLD
1999	lserbanesc	WTYD,RESD,CSLD
1999	ltilson	WTYD,RESD,CSLD
1999	nalmeida	WTYD,RESD,CSLD
1999	pdavignon	WTYD,RESD,CSLD
1999	rney	WTYD,RESD,CSLD
1999	sandrade2	WTYD,RESD,CSLD
1999	vrajseal	WTYD,RESD,CSLD
2000	mabbott2	WTYD,RESD,CSLD
2001	hward	WTYD,RESD,CSLD
2002	hwouthuis	WTYD,RESD,CSLD
2002	swalters	WTYD,RESD,CSLD
